AL, E3, 2010080600, 03, AP04, 108, 242N,  564W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 114, 248N,  571W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 120, 250N,  579W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 126, 252N,  585W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 132, 255N,  591W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 138, 261N,  592W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 144, 263N,  591W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 150, 263N,  594W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 156, 270N,  594W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 162, 278N,  592W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 168, 276N,  589W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 174, 280N,  585W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 180, 277N,  587W,  17, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 186, 283N,  589W,  16, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 192, 287N,  575W,  12, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 198, 284N,  582W,  15, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 204, 292N,  580W,  14, 1019, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 210, 297N,  582W,  13, 1018, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 216, 288N,  583W,  11, 1019, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 222, 283N,  586W,  13, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 228, 287N,  591W,  11, 1018, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 234, 285N,  599W,  13, 1018, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP04, 240, 292N,  608W,  14, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,   0, 133N,  353W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,   6, 151N,  345W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  12, 169N,  350W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  18, 169N,  360W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  24, 171N,  375W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  30, 177N,  390W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  36, 180N,  398W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  42, 188N,  407W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  48, 194N,  418W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  54, 200N,  431W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  60, 212N,  437W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  66, 226N,  446W,  27, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  72, 233N,  456W,  26, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  78, 238N,  469W,  24, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  84, 242N,  478W,  22, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  90, 254N,  481W,  24, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05,  96, 259N,  488W,  22, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 102, 264N,  494W,  22, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 108, 267N,  497W,  21, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 114, 273N,  504W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 120, 279N,  506W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 126, 280N,  515W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 132, 287N,  516W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 138, 291N,  520W,  14, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 144, 296N,  516W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 150, 299N,  519W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 156, 303N,  518W,  19, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 162, 307N,  519W,  14, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 168, 311N,  516W,  15, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 174, 312N,  505W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 180, 314N,  505W,  21, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 186, 325N,  504W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 192, 333N,  500W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 198, 341N,  489W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 204, 359N,  480W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 210, 371N,  474W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 216, 389N,  463W,  29, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 222, 405N,  453W,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP05, 228, 425N,  444W,  34, 1007, XX,  34, NEQ,    0,  143,    0,    0, 
AL, E3, 2010080600, 03, AP05, 234, 441N,  435W,  40, 1005, XX,  34, NEQ,    0,  126,   67,   88, 
AL, E3, 2010080600, 03, AP05, 240, 467N,  425W,  44, 1009, XX,  34, NEQ,  144,  112,    0,   34, 
AL, E3, 2010080600, 03, AP06,   0, 122N,  367W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,   6, 119N,  383W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  12, 126N,  381W,  28, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  18, 135N,  379W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  24, 142N,  383W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  30, 150N,  389W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  36, 162N,  398W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  42, 177N,  414W,  34, 1009, XX,  34, NEQ,  112,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  48, 184N,  437W,  32, 1010, XX,  34, NEQ,  187,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  54, 198N,  451W,  34, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  60, 203N,  464W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  66, 216N,  477W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  72, 221N,  490W,  33, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  78, 231N,  502W,  34, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  84, 239N,  517W,  32, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  90, 247N,  526W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06,  96, 255N,  535W,  32, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06, 102, 262N,  546W,  34, 1006, XX,  34, NEQ,  146,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06, 108, 269N,  554W,  35, 1007, XX,  34, NEQ,  126,    0,    0,   73, 
AL, E3, 2010080600, 03, AP06, 114, 274N,  561W,  34, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06, 120, 280N,  562W,  39, 1005, XX,  34, NEQ,  104,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06, 126, 286N,  568W,  37, 1003, XX,  34, NEQ,  123,  104,    0,    0, 
AL, E3, 2010080600, 03, AP06, 132, 288N,  572W,  38, 1003, XX,  34, NEQ,  138,  127,    0,   84, 
AL, E3, 2010080600, 03, AP06, 138, 292N,  578W,  38, 1002, XX,  34, NEQ,  112,  124,    0,    0, 
AL, E3, 2010080600, 03, AP06, 144, 292N,  579W,  38, 1002, XX,  34, NEQ,  140,  111,  111,  126, 
AL, E3, 2010080600, 03, AP06, 150, 293N,  585W,  40,  999, XX,  34, NEQ,  145,  134,   83,  131, 
AL, E3, 2010080600, 03, AP06, 156, 296N,  589W,  41, 1000, XX,  34, NEQ,  134,  147,   91,  124, 
AL, E3, 2010080600, 03, AP06, 162, 298N,  593W,  45, 1000, XX,  34, NEQ,  138,  146,  132,  112, 
AL, E3, 2010080600, 03, AP06, 168, 299N,  594W,  47,  999, XX,  34, NEQ,  134,  136,  129,  125, 
AL, E3, 2010080600, 03, AP06, 174, 300N,  599W,  43,  997, XX,  34, NEQ,  161,  152,  124,  124, 
AL, E3, 2010080600, 03, AP06, 180, 301N,  600W,  45,  998, XX,  34, NEQ,  151,  160,  121,  137, 
AL, E3, 2010080600, 03, AP06, 186, 303N,  603W,  50,  997, XX,  34, NEQ,  157,  174,  134,  141, 
AL, E3, 2010080600, 03, AP06, 186, 303N,  603W,  50,  997, XX,  50, NEQ,    0,   76,    0,    0, 
AL, E3, 2010080600, 03, AP06, 192, 305N,  605W,  51,  995, XX,  34, NEQ,  148,  145,  137,  143, 
AL, E3, 2010080600, 03, AP06, 192, 305N,  605W,  51,  995, XX,  50, NEQ,   82,   86,    0,    0, 
AL, E3, 2010080600, 03, AP06, 198, 309N,  609W,  51,  994, XX,  34, NEQ,  165,  172,  136,  138, 
AL, E3, 2010080600, 03, AP06, 198, 309N,  609W,  51,  994, XX,  50, NEQ,  102,    0,    0,    0, 
AL, E3, 2010080600, 03, AP06, 204, 311N,  611W,  54,  995, XX,  34, NEQ,  167,  162,  144,  143, 
AL, E3, 2010080600, 03, AP06, 204, 311N,  611W,  54,  995, XX,  50, NEQ,   90,  108,    0,    0, 
AL, E3, 2010080600, 03, AP06, 210, 319N,  616W,  58,  993, XX,  34, NEQ,  185,  195,  143,  132, 
AL, E3, 2010080600, 03, AP06, 210, 319N,  616W,  58,  993, XX,  50, NEQ,  104,  110,    0,    0, 
AL, E3, 2010080600, 03, AP06, 216, 326N,  617W,  61,  991, XX,  34, NEQ,  164,  170,  147,  134, 
AL, E3, 2010080600, 03, AP06, 216, 326N,  617W,  61,  991, XX,  50, NEQ,   94,  109,   99,    0, 
AL, E3, 2010080600, 03, AP06, 222, 334N,  621W,  59,  990, XX,  34, NEQ,  207,  206,  131,  138, 
AL, E3, 2010080600, 03, AP06, 222, 334N,  621W,  59,  990, XX,  50, NEQ,  110,  121,    0,    0, 
AL, E3, 2010080600, 03, AP06, 228, 348N,  619W,  61,  990, XX,  34, NEQ,  207,  225,  172,  115, 
AL, E3, 2010080600, 03, AP06, 228, 348N,  619W,  61,  990, XX,  50, NEQ,  113,  135,  108,   77, 
AL, E3, 2010080600, 03, AP06, 234, 360N,  619W,  65,  988, XX,  34, NEQ,  197,  226,  154,  120, 
AL, E3, 2010080600, 03, AP06, 234, 360N,  619W,  65,  988, XX,  50, NEQ,  108,  127,  121,   72, 
AL, E3, 2010080600, 03, AP06, 234, 360N,  619W,  65,  988, XX,  64, NEQ,    0,   87,    0,    0, 
AL, E3, 2010080600, 03, AP06, 240, 372N,  611W,  73,  989, XX,  34, NEQ,  202,  197,  138,  127, 
AL, E3, 2010080600, 03, AP06, 240, 372N,  611W,  73,  989, XX,  50, NEQ,  115,  121,   89,    0, 
AL, E3, 2010080600, 03, AP06, 240, 372N,  611W,  73,  989, XX,  64, NEQ,   77,   93,    0,    0, 
AL, E3, 2010080600, 03, AP07,   0, 137N,  345W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,   6, 151N,  338W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  12, 159N,  342W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  18, 168N,  352W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  24, 172N,  367W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  30, 183N,  383W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  36, 191N,  400W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  42, 200N,  412W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  48, 205N,  427W,  24, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  54, 210N,  441W,  24, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  60, 213N,  455W,  23, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  66, 215N,  469W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  72, 219N,  480W,  19, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  78, 219N,  495W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  84, 222N,  507W,  18, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  90, 226N,  514W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07,  96, 225N,  522W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 102, 234N,  538W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 108, 248N,  551W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 114, 253N,  564W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 120, 259N,  571W,  17, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 126, 259N,  582W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 132, 266N,  590W,  15, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 138, 268N,  593W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 144, 269N,  600W,  15, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 150, 267N,  603W,  13, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 156, 271N,  609W,  13, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 162, 274N,  608W,  11, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 168, 274N,  612W,  14, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 174, 276N,  612W,  10, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 180, 281N,  609W,  12, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 186, 290N,  606W,   8, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 192, 285N,  608W,  13, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 198, 282N,  607W,  10, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 204, 285N,  609W,   9, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 210, 285N,  604W,  12, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 216, 279N,  604W,  11, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP07, 222, 277N,  595W,  10, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP08,   0, 125N,  352W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP08,   6, 122N,  364W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP08,  12, 111N,  371W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP08,  18, 120N,  372W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,   0, 129N,  358W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,   6, 135N,  360W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  12, 141N,  359W,  28, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  18, 150N,  363W,  31, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  24, 160N,  373W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  30, 177N,  391W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  36, 189N,  405W,  30, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  42, 200N,  420W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  48, 209N,  430W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  54, 217N,  445W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  60, 222N,  457W,  25, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  66, 232N,  468W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  72, 234N,  480W,  27, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  78, 239N,  495W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  84, 243N,  506W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  90, 250N,  513W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11,  96, 254N,  520W,  21, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11, 102, 260N,  523W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11, 108, 269N,  537W,  18, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11, 114, 274N,  545W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11, 120, 281N,  549W,  14, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11, 126, 287N,  552W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11, 132, 292N,  560W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11, 138, 302N,  558W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11, 144, 308N,  556W,  14, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11, 150, 310N,  556W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11, 156, 317N,  557W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11, 162, 321N,  555W,  14, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11, 168, 326N,  558W,  12, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP11, 174, 329N,  554W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,   0, 121N,  365W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,   6, 122N,  371W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  12, 131N,  367W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  18, 139N,  369W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  24, 144N,  379W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  30, 154N,  389W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  36, 163N,  403W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  42, 170N,  416W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  48, 175N,  428W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  54, 183N,  439W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  60, 190N,  450W,  28, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  66, 201N,  463W,  30, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  72, 209N,  475W,  30, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  78, 219N,  489W,  31, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  84, 226N,  501W,  29, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  90, 231N,  514W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14,  96, 237N,  525W,  24, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 102, 240N,  534W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 108, 250N,  540W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 114, 260N,  541W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 120, 264N,  538W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 126, 270N,  540W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 132, 279N,  537W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 138, 286N,  529W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 144, 288N,  521W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 150, 290N,  514W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 156, 293N,  507W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 162, 298N,  497W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 168, 299N,  485W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 174, 303N,  475W,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 180, 310N,  462W,  33, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 186, 319N,  450W,  32, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 192, 324N,  434W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 198, 332N,  422W,  33, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 204, 342N,  412W,  35, 1007, XX,  34, NEQ,    0,  111,    0,    0, 
AL, E3, 2010080600, 03, AP14, 210, 350N,  405W,  33, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP14, 216, 356N,  403W,  36, 1007, XX,  34, NEQ,  121,    0,    0,    0, 
